@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Entire home/apt,Sant Martí,51,4.5,12,4.0,3606.0,41.390,2.199
Entire home/apt,Sant Martí,5,5.0,8,4.0,1918.0,41.385,2.200
Entire home/apt,Horta-Guinardó,4,5.0,16,8.0,1605.0,41.427,2.164
Entire home/apt,Ciutat Vella,12,5.0,10,4.0,1443.0,41.379,2.183
Entire home/apt,Ciutat Vella,11,4.5,16,6.0,1343.0,41.384,2.165
Entire home/apt,Sant Martí,4,4.5,8,4.0,1082.0,41.383,2.199
Entire home/apt,Eixample,48,5.0,6,3.0,1082.0,41.390,2.176
Entire home/apt,Ciutat Vella,3,5.0,11,5.0,1044.0,41.383,2.173
Entire home/apt,Eixample,9,5.0,16,10.0,865.0,41.398,2.178
Entire home/apt,Sant Martí,11,4.5,8,4.0,721.0,41.404,2.215
