room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Sant Martí,113,4.5,3,1.0,30.0,41.403028000000006,2.1994830000000003
Private room,Sant Martí,11,4.5,2,0.0,23.0,41.409946000000005,2.182998
Private room,Sant Martí,32,4.5,2,1.0,36.0,41.396307,2.1892139999999998
Private room,Eixample,11,5.0,2,1.0,30.0,41.405081,2.1799
Private room,Eixample,53,4.5,1,1.0,30.0,41.40537,2.1789330000000002
Private room,Ciutat Vella,11,5.0,2,1.0,34.0,41.380673,2.1810810000000003
Private room,Sant Martí,18,5.0,1,1.0,27.0,41.404271,2.202876
Private room,Sant Martí,16,4.5,2,1.0,36.0,41.399307,2.197126
Private room,Sant Martí,4,5.0,2,1.0,24.0,41.415395000000004,2.216965
Private room,Sant Martí,4,4.5,1,1.0,36.0,41.409414,2.20704
Private room,Sant Martí,11,4.5,2,1.0,32.0,41.417413,2.212617
Private room,Sant Martí,12,4.0,3,1.0,25.0,41.420446000000005,2.207158
Private room,Eixample,6,4.0,1,1.0,34.0,41.398506,2.184241
Private room,Sant Martí,17,4.5,1,1.0,38.0,41.406503,2.199623
Private room,Sant Martí,31,4.5,2,1.0,39.0,41.414575,2.2154990000000003
Private room,Sant Martí,47,4.5,2,1.0,30.0,41.405962,2.184834
Private room,Sant Martí,12,5.0,2,1.0,39.0,41.402885,2.203881
Private room,Sant Martí,24,5.0,1,1.0,35.0,41.398012,2.187332
Private room,Horta-Guinardó,5,4.5,1,1.0,22.0,41.420228,2.178117
Private room,Sant Martí,7,4.5,2,1.0,35.0,41.41239,2.186418
Private room,Sant Martí,32,5.0,3,1.0,27.0,41.408190000000005,2.1876860000000002
Private room,Eixample,14,4.5,1,1.0,32.0,41.398078999999996,2.185441
Private room,Sant Martí,19,3.5,1,1.0,24.0,41.401315000000004,2.187852
Private room,Sant Martí,36,4.5,2,1.0,36.0,41.395677,2.187801
Private room,Eixample,173,4.5,2,1.0,18.0,41.398773,2.182227
Private room,Ciutat Vella,111,5.0,1,1.0,36.0,41.386061,2.178947
Private room,Eixample,55,4.0,1,1.0,24.0,41.399319,2.17965
Private room,Ciutat Vella,170,4.5,2,1.0,29.0,41.380812,2.189823
Private room,Sant Martí,168,4.5,2,1.0,23.0,41.414315,2.216863
Private room,Sant Martí,15,5.0,1,1.0,30.0,41.408390000000004,2.188358
Private room,Sant Martí,34,4.5,3,1.0,30.0,41.410263,2.186066
Private room,Eixample,33,4.5,2,1.0,36.0,41.402719,2.178138
Private room,Sant Martí,128,4.5,2,1.0,36.0,41.399288,2.20558
